Warengruppe,Umsatz,Bewoelkung,Temperatur,Windgeschwindigkeit,Wettercode,Feiertag,Wochenende,Wochentag,Monat,Temp_abw,Bewoelkung_kat,Windgeschwindigkeit_kat,Kalenderwoche,Jahreszeit,Umsatz_lag1,Umsatz_lag7,Feiertag_in_3_tagen,durchschnittlicher_Umsatz_vor_Feiertag,Kieler_Woche,Datum
3.800000153001996,114.23479388609647,8.0,9.825,14.0,58.0,1.0,1.0,6.0,1.0,1.0,2.0,2.0,52.0,1.0,979.664032371759,130.8197102818178,1.0,434.8545137155018,0.0,2012-01-01
3.0,179.07382372592895,7.0,7.4375,12.0,65.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,178.06834398765776,228.65649184683042,0.0,703.4201365959616,0.0,2012-01-02
2.999999956064669,156.97598966309275,8.0,5.5375,18.0,63.0,0.0,0.0,1.0,1.0,0.0,2.0,3.0,1.0,1.0,162.7664935402656,507.23326134746816,0.0,531.8473487430714,0.0,2012-01-03
3.8,154.46857882443143,4.0,5.6875,19.0,80.0,0.0,0.0,2.0,1.0,0.0,1.0,3.0,1.0,1.0,270.25101522683565,210.1287755101419,0.0,221.14440646619425,0.0,2012-01-04
3.0,140.01815431564478,6.0,5.3,23.0,80.0,0.0,0.0,3.0,1.0,0.0,1.0,4.0,1.0,1.0,131.27206779742897,173.27369159797396,0.0,260.6030703671655,0.0,2012-01-05
2.9999999513051328,176.20581909306966,3.0,2.625,10.0,60.99999900987103,0.0,0.0,4.0,1.0,0.0,0.0,1.0,1.0,1.0,170.01876343466844,131.01370373530048,0.0,726.8832980914442,0.0,2012-01-06
2.9999999568508584,149.8330126777944,7.0,6.528571,14.0,61.0,0.0,1.0,5.0,1.0,0.0,2.0,2.0,1.0,1.0,145.7882488407366,143.73610860044872,0.0,548.739448653,0.0,2012-01-07
3.0,213.594000453847,7.0,5.9625,10.0,80.0,0.0,1.0,6.0,1.0,0.0,2.0,1.0,1.0,1.0,206.74080084200722,181.61022968148686,0.0,246.79718663531784,0.0,2012-01-08
3.0,166.62344930492307,8.0,5.15,12.0,61.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,1.0,175.51224967932149,462.75833946512233,0.0,566.1903447033027,0.0,2012-01-09
3.0,174.24824096805352,6.0,6.1125,10.0,61.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,129.68585418448146,131.30192494616014,0.0,732.967535742809,0.0,2012-01-10
2.999999949853871,169.56873252503343,6.0,7.8625,16.0,51.0,0.0,0.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,176.87181587281304,182.16237249784308,0.0,316.0128647708063,0.0,2012-01-11
3.799999926341081,154.3939124232967,7.0,7.4375,25.0,61.0,0.0,0.0,3.0,1.0,0.0,2.0,4.0,2.0,1.0,250.50059281553956,673.8109040236486,0.0,391.8524637361796,0.0,2012-01-12
2.9999999513338707,268.1509732508727,2.0,4.8,18.0,20.999999659337092,0.0,0.0,4.0,1.0,0.0,0.0,3.0,2.0,1.0,265.57348252321907,185.8469843425158,0.0,588.5030657268126,0.0,2012-01-13
3.0,176.20582195317607,3.0,2.8875,10.0,61.0,0.0,1.0,5.0,1.0,0.0,0.0,1.0,2.0,1.0,170.01876619434884,131.0137058618655,0.0,707.0862517354507,0.0,2012-01-14
2.9999999241573425,205.1506216789854,1.0,2.225,6.0,4.999999873595571,0.0,1.0,6.0,1.0,0.0,0.0,1.0,2.0,1.0,185.5552314413931,152.71160471255862,0.0,623.7058913688138,0.0,2012-01-15
2.9999999374389716,136.07408855315998,8.0,3.0625,6.0,61.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,3.0,1.0,138.60447227403517,179.64486637369328,0.0,588.1275115373057,0.0,2012-01-16
3.0,174.24824096805352,6.0,4.4875,10.0,61.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,129.68585418448143,131.3019249461601,0.0,726.2349770561751,0.0,2012-01-17
2.999999963521958,180.20698034264512,7.0,2.35,12.0,51.0,0.0,0.0,2.0,1.0,0.0,2.0,2.0,3.0,1.0,197.59724518235745,243.33465091096033,0.0,445.53083796662276,0.0,2012-01-18
2.999999946630229,195.75561309081672,8.0,5.2625,16.0,80.0,0.0,0.0,3.0,1.0,0.0,2.0,3.0,3.0,1.0,191.1137748904713,185.10961948989691,0.0,247.60745149378903,0.0,2012-01-19
2.9999999482716846,213.5939967708944,6.0,3.4375,12.0,26.0,0.0,0.0,4.0,1.0,0.0,1.0,2.0,3.0,1.0,206.74079727722275,181.61022655002307,0.0,206.21075536542747,0.0,2012-01-20
3.0,163.70031978472915,7.0,3.5375,16.0,68.0,0.0,1.0,5.0,1.0,0.0,2.0,3.0,3.0,1.0,154.99946971261537,143.50908956063637,0.0,477.43406655081964,0.0,2012-01-21
