Warengruppe,Umsatz,Bewoelkung,Temperatur,Windgeschwindigkeit,Wettercode,KielerWoche,Feiertag,Wochenende,Wochentag,Monat,Temp_abw,Bewoelkung_kat,Windgeschwindigkeit_kat,Kalenderwoche,Jahreszeit,Umsatz_lag1,Umsatz_lag7,Feiertag_in_3_tagen,durchschnittlicher_Umsatz_vor_Feiertag,Kieler_Woche
,,8.0,9.825,14.0,58.0,,1,True,6,1,True,2,2,52,1,,,1.0,,False
,,7.0,7.4375,12.0,61.0,,0,False,0,1,False,2,2,1,1,,,0.0,,False
,,8.0,5.5375,18.0,63.0,,0,False,1,1,False,2,3,1,1,,,0.0,,False
,,4.0,5.6875,19.0,80.0,,0,False,2,1,False,1,3,1,1,,,0.0,,False
,,6.0,5.3,23.0,80.0,,0,False,3,1,False,1,4,1,1,,,0.0,,False
,,3.0,2.625,10.0,61.0,,0,False,4,1,False,0,1,1,1,,,0.0,,False
,,7.0,6.528571,14.0,61.0,,0,True,5,1,False,2,2,1,1,,,0.0,,False
,,7.0,5.9625,10.0,80.0,,0,True,6,1,False,2,1,1,1,,,0.0,,False
,,8.0,5.15,12.0,61.0,,0,False,0,1,False,2,2,2,1,,,0.0,,False
,,6.0,6.1125,10.0,61.0,,0,False,1,1,False,1,1,2,1,,,0.0,,False
,,6.0,7.8625,16.0,51.0,,0,False,2,1,True,1,3,2,1,,,0.0,,False
,,7.0,7.4375,25.0,61.0,,0,False,3,1,False,2,4,2,1,,,0.0,,False
,,2.0,4.8,18.0,0.0,,0,False,4,1,False,0,3,2,1,,,0.0,,False
,,3.0,2.8875,10.0,61.0,,0,True,5,1,False,0,1,2,1,,,0.0,,False
,,1.0,2.225,6.0,5.0,,0,True,6,1,False,0,1,2,1,,,0.0,,False
,,8.0,3.0625,6.0,61.0,,0,False,0,1,False,2,1,3,1,,,0.0,,False
,,6.0,4.4875,10.0,61.0,,0,False,1,1,False,1,1,3,1,,,0.0,,False
,,7.0,2.35,12.0,51.0,,0,False,2,1,False,2,2,3,1,,,0.0,,False
,,8.0,5.2625,16.0,80.0,,0,False,3,1,False,2,3,3,1,,,0.0,,False
,,6.0,3.4375,12.0,26.0,,0,False,4,1,False,1,2,3,1,,,0.0,,False
,,7.0,3.5375,16.0,68.0,,0,True,5,1,False,2,3,3,1,,,0.0,,False
,,6.0,3.7875,12.0,21.0,,0,True,6,1,False,1,2,3,1,,,0.0,,False
,,5.0,2.2125,4.0,10.0,,0,False,0,1,False,1,0,4,1,,,0.0,,False
,,3.0,1.7625,6.0,0.0,,0,False,1,1,False,0,1,4,1,,,0.0,,False
,,3.0,-0.1875,8.0,10.0,,0,False,2,1,False,0,1,4,1,,,0.0,,False
,,2.0,0.3625,12.0,5.0,,0,False,3,1,False,0,2,4,1,,,0.0,,False
,,8.0,-1.0,10.0,71.0,,0,False,4,1,False,2,1,4,1,,,0.0,,False
,,6.0,-1.3875,10.0,10.0,,0,True,5,1,False,1,1,4,1,,,0.0,,False
,,7.0,-3.1625,8.0,71.0,,0,True,6,1,True,2,1,4,1,,,0.0,,False
,,3.0,-2.275,12.0,10.0,,0,False,0,1,True,0,2,5,1,,,0.0,,False
,,1.0,-2.375,18.0,5.0,,0,False,1,1,True,0,3,5,1,,,0.0,,False
,,7.0,-1.825,16.0,71.0,,0,False,2,2,True,2,3,5,1,,,0.0,,False
,,6.0,-5.85,8.0,85.0,,0,False,3,2,True,1,1,5,1,,,0.0,,False
,,4.0,-5.85,14.0,3.0,,0,False,4,2,True,1,2,5,1,,,0.0,,False
,,4.0,-7.5375,10.0,71.0,,0,True,5,2,True,1,1,5,1,,,0.0,,False
,,5.0,-7.7125,8.0,71.0,,0,True,6,2,True,1,1,5,1,,,0.0,,False
,,4.0,-10.25,6.0,10.0,,0,False,0,2,True,1,1,6,1,,,0.0,,False
,,6.0,-3.0,18.0,71.0,,0,False,1,2,True,1,3,6,1,,,0.0,,False
,,6.0,-2.7625,10.0,71.0,,0,False,2,2,True,1,1,6,1,,,0.0,,False
,,6.0,-1.6625,21.0,3.0,,0,False,3,2,True,1,4,6,1,,,0.0,,False
,,6.0,-2.8125,8.0,71.0,,0,False,4,2,True,1,1,6,1,,,0.0,,False
,,7.0,-4.575,8.0,78.0,,0,True,5,2,True,2,1,6,1,,,0.0,,False
,,8.0,-1.2375,16.0,72.0,,0,True,6,2,True,2,3,6,1,,,0.0,,False
,,6.0,-2.325,8.0,10.0,,0,False,0,2,True,1,1,7,1,,,0.0,,False
,,8.0,1.3,10.0,47.0,,0,False,1,2,False,2,1,7,1,,,0.0,,False
,,1.0,4.8625,18.0,0.0,,0,False,2,2,False,0,3,7,1,,,0.0,,False
,,7.0,2.9625,10.0,61.0,,0,False,3,2,False,2,1,7,1,,,0.0,,False
,,5.0,5.5625,14.0,21.0,,0,False,4,2,False,1,2,7,1,,,0.0,,False
,,8.0,6.175,14.0,61.0,,0,True,5,2,False,2,2,7,1,,,0.0,,False
,,4.0,4.2,18.0,25.0,,0,True,6,2,False,1,3,7,1,,,0.0,,False
,,5.0,4.1125,14.0,61.0,,0,False,0,2,False,1,2,8,1,,,0.0,,False
,,8.0,4.95,14.0,58.0,,0,False,1,2,False,2,2,8,1,,,0.0,,False
,,7.0,7.175,18.0,51.0,,0,False,2,2,False,2,3,8,1,,,0.0,,False
,,6.0,8.4125,18.0,61.0,,0,False,3,2,False,1,3,8,1,,,0.0,,False
,,7.0,8.35,19.0,20.0,,0,False,4,2,False,2,3,8,1,,,0.0,,False
,,6.0,6.525,19.0,61.0,,0,True,5,2,False,1,3,8,1,,,0.0,,False
,,1.0,4.675,8.0,0.0,,0,True,6,2,False,0,1,8,1,,,0.0,,False
,,8.0,3.725,12.0,61.0,,0,False,0,2,False,2,2,9,1,,,0.0,,False
,,8.0,7.675,14.0,51.0,,0,False,1,2,False,2,2,9,1,,,0.0,,False
,,8.0,7.775,10.0,47.0,,0,False,2,2,False,2,1,9,1,,,0.0,,False
,,6.0,7.625,12.0,43.0,,0,False,3,3,False,1,2,9,2,,,0.0,,False
,,7.0,5.9125,6.0,28.0,,0,False,4,3,False,2,1,9,2,,,0.0,,False
,,5.0,7.0375,14.0,61.0,,0,True,5,3,False,1,2,9,2,,,0.0,,False
,,7.0,4.675,8.0,61.0,,0,True,6,3,False,2,1,9,2,,,0.0,,False
,,7.0,4.875,10.0,61.0,,0,False,0,3,False,2,1,10,2,,,0.0,,False
,,4.0,4.5125,10.0,61.0,,0,False,1,3,False,1,1,10,2,,,0.0,,False
,,7.0,4.05,10.0,61.0,,0,False,2,3,False,2,1,10,2,,,0.0,,False
,,2.0,7.5125,14.0,5.0,,0,False,3,3,False,0,2,10,2,,,0.0,,False
,,8.0,7.825,14.0,10.0,,0,False,4,3,False,2,2,10,2,,,0.0,,False
,,6.0,8.7,19.0,10.0,,0,True,5,3,False,1,3,10,2,,,0.0,,False
,,6.0,8.95,14.0,61.0,,0,True,6,3,False,1,2,10,2,,,0.0,,False
,,5.0,9.0125,18.0,21.0,,0,False,0,3,False,1,3,11,2,,,0.0,,False
,,6.0,9.95,16.0,1.0,,0,False,1,3,False,1,3,11,2,,,0.0,,False
,,7.0,7.7875,10.0,61.0,,0,False,2,3,False,2,1,11,2,,,0.0,,False
,,6.0,7.4,8.0,61.0,,0,False,3,3,False,1,1,11,2,,,0.0,,False
,,3.0,12.0375,14.0,10.0,,0,False,4,3,False,0,2,11,2,,,0.0,,False
,,6.0,9.775,14.0,10.0,,0,True,5,3,False,1,2,11,2,,,0.0,,False
,,7.0,9.8375,16.0,61.0,,0,True,6,3,False,2,3,11,2,,,0.0,,False
,,4.0,8.1125,18.0,21.0,,0,False,0,3,False,1,3,12,2,,,0.0,,False
,,7.0,8.0875,18.0,51.0,,0,False,1,3,False,2,3,12,2,,,0.0,,False
,,5.0,12.625,16.0,21.0,,0,False,2,3,True,1,3,12,2,,,0.0,,False
,,0.0,12.7625,6.0,2.0,,0,False,3,3,True,0,1,12,2,,,0.0,,False
,,0.0,13.4875,6.0,2.0,,0,False,4,3,True,0,1,12,2,,,0.0,,False
,,5.0,7.8375,8.0,10.0,,0,True,5,3,False,1,1,12,2,,,0.0,,False
,,0.0,13.1375,10.0,1.0,,0,True,6,3,True,0,1,12,2,,,0.0,,False
,,7.0,8.4875,8.0,51.0,,0,False,0,3,False,2,1,13,2,,,0.0,,False
,,4.0,15.5,10.0,21.0,,0,False,1,3,True,1,1,13,2,,,0.0,,False
,,3.0,14.8375,18.0,5.0,,0,False,2,3,True,0,3,13,2,,,0.0,,False
,,6.0,8.9875,19.0,21.0,,0,False,3,3,False,1,3,13,2,,,0.0,,False
